Elevation;Temperature;Pressure;Relative Density;Speed of Sound
0;288.15;1.01325;1;340.3
500;284.9;0.9546;0.9529;338.4
1000;281.7;0.8988;0.9075;336.4
1500;278.4;0.8456;0.8638;334.5
2000;275.2;0.7950;0.8217;332.5
2500;271.9;0.7469;0.7812;330.6
3000;268.7;0.7012;0.7423;328.6
3500;265.4;0.6578;0.7048;326.6
4000;262.2;0.6166;0.6689;324.6
4500;258.9;0.5775;0.6343;322.6
5000;255.7;0.5405;0.6012;320.5
5500;252.4;0.5054;0.5694;318.5
6000;249.2;0.4722;0.5389;316.5
6500;245.9;0.4408;0.5096;314.4
7000;242.7;0.4111;0.4817;312.3
7500;239.5;0.3830;0.4549;310.2
8000;236.2;0.3565;0.4292;308.1
8500;233.0;0.3315;0.4047;306.0
9000;229.7;0.3080;0.3813;303.8
9500;226.5;0.2858;0.3589;301.7
10000;223.3;0.2650;0.3376;299.8
10500;220.0;0.2454;0.3172;297.4
11000;216.8;0.2270;0.2978;295.2
11500;216.7;0.2098;0.2755;295.1
12000;216.7;0.1940;0.2546;295.1
12500;216.7;0.1793;0.2354;295.1
13000;216.7;0.1658;0.2176;295.1
13500;216.7;0.1533;0.2012;295.1
14000;216.7;0.1417;0.1860;295.1
14500;216.7;0.1310;0.1720;295.1
15000;216.7;0.1211;0.1590;295.1
15500;216.7;0.1120;0.1470;295.1
16000;216.7;0.1035;0.1359;295.1
16500;216.7;0.09572;0.1256;295.1
17000;216.7;0.08850;0.1162;295.1
17500;216.7;0.08182;0.1074;295.1
18000;216.7;0.07565;0.09930;295.1
18500;216.7;0.06995;0.09182;295.1
19000;216.7;0.06467;0.08489;295.1
19500;216.7;0.05980;0.07850;295.1
20000;216.7;0.05529;0.07258;295.1

